level,code,name,Population,Average Annual log percentage change,Log percentage change,Average Annual percentage change,Percentage change,GVA per hour
ITL3,TLD41,Blackburn with Darwen,144902.0,0.015271905859006611,0.22907858788509916,0.015389117334017044,0.2574408547443401,33.27
ITL3,TLD42,Blackpool,142921.0,-0.0011392747864195012,-0.017089121796292517,-0.0011386260592829434,-0.016943930991989653,30.25
ITL3,TLD44,Lancaster and Wyre,244057.0,0.014690276615108763,0.22035414922663143,0.014798709045447556,0.24651810584958245,37.07
ITL3,TLD45,Mid Lancashire,378661.0,-0.0002216860896781488,-0.003325291345172232,-0.0002216615191326099,-0.0033197686870853893,40.99
ITL3,TLD46,East Lancashire,324572.0,0.011994596472784735,0.17991894709177103,0.012066820120696375,0.19712032910524457,36.59
ITL3,TLD47,Chorley and West Lancashire,216062.0,0.0018986479282174192,0.028479718923261288,0.0019004515014646728,0.028889143643242132,37.49
ITL3,TLD61,Warrington,198187.0,0.0016297558333234837,0.024446337499852255,0.0016310846071225793,0.024747599113519092,37.73
ITL3,TLD62,Cheshire East,367160.0,-0.0002607386334502119,-0.0039110795017531785,-0.0002607046440868954,-0.0039034411915761513,47.43
ITL3,TLD63,Cheshire West and Chester,329353.0,0.004805360986949067,0.07208041480423599,0.004816925250122894,0.0747417657376721,47.88
ITL3,TLD71,East Merseyside,445835.0,0.005558773929270089,0.08338160893905133,0.005574252580552219,0.08695652173913082,38.53
ITL3,TLD72,Liverpool,454468.0,0.0013006658128428346,0.01950998719264252,0.0013015120454700213,0.019701550765629294,37.48
ITL3,TLD73,Sefton,274735.0,0.0030489317109061885,0.04573397566359283,0.0030535844306016635,0.046795900728485273,36.2
ITL3,TLD74,Wirral,316711.0,0.005168768570017986,0.07753152855026979,0.005182149699002325,0.08061630218687821,36.01
ITL3,TLE11,"Kingston upon Hull, City of",256746.0,-0.008571208639750043,-0.12856812959625064,-0.008534580554668048,-0.12064634963161391,34.02
ITL3,TLE12,East Riding of Yorkshire,332464.0,-0.002747050917575322,-0.04120576376362983,-0.0027432812258385564,-0.040368347788842796,40.77
ITL3,TLE13,North and North East Lincolnshire,323227.0,0.009709760947124835,0.14564641420687252,0.009757053618862033,0.15678709224833431,40.57
ITL3,TLE21,York,190768.0,-0.0015127831399275613,-0.022691747098913417,-0.0015116394602990857,-0.022436225796537812,43.52
ITL3,TLG13,Warwickshire CC,539384.0,0.01128249107979323,0.16923736619689844,0.011346378425673098,0.18440124237892586,42.34
ITL3,TLG21,Telford and Wrekin,164089.0,-0.004988233605669853,-0.07482350408504779,-0.004975813029245102,-0.07209275628515688,34.96
ITL3,TLG22,Shropshire,300473.0,-0.008686266481199745,-0.13029399721799617,-0.008648649863291391,-0.12216268874817304,32.36
ITL3,TLG23,Stoke-on-Trent,245509.0,0.007266801033084688,0.10900201549627031,0.007293268303666167,0.11516459794927081,33.01
ITL3,TLG24,Staffordshire CC,838142.0,-0.0022626299547357696,-0.03393944932103654,-0.00226007213707502,-0.03336996702967354,33.66
ITL3,TLG31,Birmingham,1038980.0,-0.0013741898162720645,-0.020612847244080967,-0.0013732460498007137,-0.020401854714065637,35.14
ITL3,TLG32,Solihull,204778.0,-0.007986220333537552,-0.11979330500306329,-0.007954415199849296,-0.11289622231871488,41.8
ITL3,TLG33,Coventry,305186.0,-0.0018496021541510052,-0.027744032312265077,-0.0018478926941893903,-0.02736270133902552,40.39
ITL3,TLG36,Dudley,310377.0,0.00500413459829178,0.0750620189743767,0.00501667619104329,0.07795100222717077,31.91
ITL3,TLG37,Sandwell,298358.0,0.006656151978229078,0.09984227967343617,0.006678353389127922,0.1049966239027682,32.84
ITL3,TLG38,Walsall,263034.0,0.006874181409552035,0.10311272114328052,0.006897862826931833,0.10861636653749662,31.2
ITL3,TLG39,Wolverhampton,245349.0,0.009499132480532838,0.14248698720799258,0.00954439243606342,0.1531380753138072,35.29
ITL3,TLH21,Luton,192084.0,0.006995385186087155,0.10493077779130733,0.007019910046634159,0.11063372717508058,34.12
ITL3,TLH24,Bedford,154164.0,0.00025496413777622944,0.0038244620666434415,0.0002549966438945006,0.003831784653702597,33.6
ITL3,TLH25,Central Bedfordshire,249035.0,0.007417104836363405,0.11125657254545107,0.007444679691477996,0.11768163649188756,38.98
ITL3,TLH26,North and East Hertfordshire,539921.0,0.0062521974876921975,0.09378296231538297,0.006271783271191156,0.09832134292565886,42.5
ITL3,TLH27,South West Hertfordshire,545513.0,0.00446819221679983,0.06702288325199746,0.004478189471982974,0.06931994741245373,44.63
ITL3,TLH31,Southend-on-Sea,168150.0,0.004346774648448874,0.0652016197267331,0.004356235576578271,0.06737420638680902,31.29
ITL3,TLH32,Thurrock,153633.0,0.0028058143493320032,0.04208721523998005,0.0028097543305036776,0.042985439009504134,40.17
ITL3,TLH34,Essex Haven Gateway,452242.0,0.009020225512450075,0.13530338268675113,0.009061030343912257,0.14488406967354983,39.02
ITL3,TLH35,West Essex,278783.0,-0.002751694842728251,-0.041275422640923765,-0.0027479124006453137,-0.04043519232416681,38.62
ITL3,TLH36,Heart of Essex,298648.0,0.007213681378258189,0.10820522067387284,0.007239762654058124,0.11427639447645999,42.38
ITL3,TLH37,Essex Thames Gateway,343499.0,-0.002133515405744942,-0.03200273108617413,-0.0021312410794759318,-0.03149606299212637,40.89
ITL3,TLH41,Peterborough,176027.0,0.0053701467159312346,0.08055220073896852,0.005384591799637128,0.08388542478565841,38.34
ITL3,TLH42,Cambridgeshire CC,600808.0,0.0027790661984171314,0.04168599297625697,0.0027829313825895596,0.04256705396894356,40.99
ITL3,TLJ14,Oxfordshire CC,638784.0,-0.0011237544230729905,-0.016856316346094857,-0.001123123247522173,-0.01671504353918518,41.49
ITL3,TLJ15,Berkshire East,384253.0,0.011115957270373992,0.16673935905560988,0.011177969083945305,0.1814462918975983,56.81
ITL3,TLJ16,Berkshire West,456675.0,0.027286486879826023,0.4092973031973903,0.02766217232423185,0.5057593210063653,52.96
ITL3,TLJ21,Brighton and Hove,262019.0,0.025400762077947666,0.381011431169215,0.025726110291737214,0.4637643378519294,47.2
ITL3,TLJ22,East Sussex CC,519197.0,0.009550413253604855,0.1432561988040728,0.009596163980389205,0.15402542372881278,33.35
ITL3,TLJ25,West Surrey,733072.0,0.006256764459054942,0.09385146688582413,0.006276378896102441,0.09839658553466424,54.08
ITL3,TLJ26,East Surrey,371170.0,-0.002856905494908446,-0.04285358242362669,-0.0028528284239313084,-0.04194834460045094,53.46
ITL3,TLJ27,West Sussex (South West),423344.0,0.0101499958868299,0.15224993830244848,0.010201681817731956,0.16445124103046704,42.87
ITL3,TLJ28,West Sussex (North East),367634.0,0.010604312975312466,0.15906469462968698,0.01066073797522793,0.17241379310344773,37.94
ITL3,TLJ31,Portsmouth,196036.0,0.0053866995402181315,0.08080049310327198,0.0054012338918625336,0.08415457867345744,41.59
ITL3,TLJ32,Southampton,228447.0,-0.0006215304440852757,-0.009322956661279136,-0.0006213373340487882,-0.009279632641347235,47.18
ITL3,TLJ34,Isle of Wight,138675.0,0.005495970578365572,0.08243955867548358,0.005511101130988738,0.08593303622443083,35.46
ITL3,TLJ35,South Hampshire,432286.0,0.014166934915526083,0.21250402373289123,0.014267761509932475,0.23677108999178653,44.43
ITL3,TLJ36,Central Hampshire,516088.0,0.010625669355543247,0.1593850403331487,0.010682322260712862,0.17278943098852673,42.15
ITL3,TLJ37,North Hampshire,345191.0,0.020966358447393377,0.31449537671090066,0.021187696720035065,0.3695680206318508,64.49
ITL3,TLJ41,Medway,258224.0,0.0017879124746369138,0.026818687119553708,0.0017895117431208085,0.027181544633901877,39.16
